vereador;partido;situacao;votos_zona_norte;votos_total_sp;pct_dos_votos_do_vereador_na_zn;pct_do_total_zn
LEO;PSB;SUPLENTE;284;480;59,17;0,03
CLAUDIA BARONESA COLETIVO 011;REPUBLICANOS;SUPLENTE;282;1759;16,03;0,03
JAILSON;PSB;SUPLENTE;280;5042;5,55;0,03
DIEGO DEL RIO;REPUBLICANOS;SUPLENTE;278;1434;19,39;0,03
NETI ARAÚJO;PT;SUPLENTE;278;1954;14,23;0,03
MORGANA SIQUEIRA;AVANTE;NÃO ELEITO;271;1813;14,95;0,03
CAMILO CRISTOFARO;PODE;NÃO ELEITO;270;7197;3,75;0,03
HUGO DANTAS;NOVO;SUPLENTE;268;567;47,27;0,03
JADSON SILVA;NOVO;SUPLENTE;267;441;60,54;0,03
MARCOS EDUARDO;NOVO;SUPLENTE;266;1415;18,80;0,03
JOICE HASSELMANN;PODE;SUPLENTE;265;1673;15,84;0,03
KAREN VASCONCELLOS;PRTB;NÃO ELEITO;263;1230;21,38;0,03
REPÓRTER  CARLOS CAVALCANTE;REPUBLICANOS;SUPLENTE;263;1514;17,37;0,03
ADAUTO DO TRANSPORTE;AVANTE;NÃO ELEITO;261;554;47,11;0,03
ARI FRIEDENBACH;PSOL;SUPLENTE;260;1780;14,61;0,03
LEANDRO MOFSOVICH;NOVO;SUPLENTE;254;1390;18,27;0,02
CÉLINHA ASSUMPÇÃO;PT;SUPLENTE;253;4332;5,84;0,02
GUILHERME BRITO;PSDB;NÃO ELEITO;245;1990;12,31;0,02
LEO CESAR;DC;NÃO ELEITO;244;432;56,48;0,02
ABDUL JAROUR;PSB;SUPLENTE;243;1722;14,11;0,02
CAMILA MOREIRA;PL;SUPLENTE;243;1459;16,66;0,02
SUZANA DO VAL;PL;SUPLENTE;242;1681;14,40;0,02
MARCO MARTINS;REDE;SUPLENTE;242;1881;12,87;0,02
ISRAEL SCHUMARKER;AVANTE;NÃO ELEITO;242;256;94,53;0,02
EDSON SALOMÃO;REPUBLICANOS;SUPLENTE;241;672;35,86;0,02
PRI TAPIA;UNIÃO;SUPLENTE;241;4665;5,17;0,02
MARCOS DO COLETIVO LUIZ GAMA;PSOL;SUPLENTE;240;2180;11,01;0,02
VERONICA BILYK;PSB;SUPLENTE;238;3369;7,06;0,02
ELI RANGEL;PL;SUPLENTE;235;339;69,32;0,02
MARA CORRÊA;MDB;SUPLENTE;233;712;32,72;0,02
LUCIANA SANTOS;CIDADANIA;NÃO ELEITO;230;255;90,20;0,02
CAPITÃ LUCENA;PL;SUPLENTE;223;1341;16,63;0,02
EVANDRO GUEDES;MDB;SUPLENTE;221;1487;14,86;0,02
CAMARADA JANDERSON;PCB;NÃO ELEITO;219;689;31,79;0,02
MATEUS CAMARINHA;PSD;SUPLENTE;218;295;73,90;0,02
MONTEIRO;PSDB;NÃO ELEITO;217;966;22,46;0,02
SILAS QUIVEN;PL;SUPLENTE;216;236;91,53;0,02
MICHELLE CAVALCANTE;PSB;SUPLENTE;214;656;32,62;0,02
IGOR GRAXA;PDT;NÃO ELEITO;214;249;85,94;0,02
AILTON NOVENTA;PRTB;NÃO ELEITO;213;2103;10,13;0,02
PROF MANDUCA DA RADIOLOGIA;AVANTE;NÃO ELEITO;213;607;35,09;0,02
GABRIEL MEDEIROS PELOS ANIMAIS;PSOL;SUPLENTE;212;1070;19,81;0,02
JUAREZ PEREIRA;UNIÃO;SUPLENTE;212;15020;1,41;0,02
CLOVIS REIS;DC;NÃO ELEITO;210;229;91,70;0,02
SANDRA PEDROSA;PRD;NÃO ELEITO;209;236;88,56;0,02
SARGENTO GALESCO;PODE;SUPLENTE;205;3628;5,65;0,02
SUB. DONIZETE;AVANTE;NÃO ELEITO;205;361;56,79;0,02
