vereador;partido;situacao;votos_zona_norte;votos_total_sp;pct_dos_votos_do_vereador_na_zn;pct_do_total_zn
ADRIANO MOTOBOY;PL;SUPLENTE;67;611;10,97;0,01
100 MIZÉRIA;SOLIDARIEDADE;NÃO ELEITO;67;915;7,32;0,01
ROGERIO ALVES DO NOVO;NOVO;SUPLENTE;67;91;73,63;0,01
MARIA SORIANO;NOVO;SUPLENTE;67;430;15,58;0,01
PEDRO HORTA;PP;SUPLENTE;66;582;11,34;0,01
MARCÃO GCM;MOBILIZA;NÃO ELEITO;66;151;43,71;0,01
RICARDO RAGÚ;PSB;SUPLENTE;65;1683;3,86;0,01
MARÍLIA MIRANDA;REPUBLICANOS;SUPLENTE;65;400;16,25;0,01
DOM SABINO;PDT;NÃO ELEITO;64;135;47,41;0,01
HANNA;PRD;NÃO ELEITO;63;148;42,57;0,01
RENATO DALEFFI;REPUBLICANOS;SUPLENTE;63;1799;3,50;0,01
ADILON SANTOS;PODE;SUPLENTE;62;2612;2,37;0,01
NANY RODRIGUES;UNIÃO;SUPLENTE;61;143;42,66;0,01
ALE DA SAÚDE;SOLIDARIEDADE;NÃO ELEITO;61;1696;3,60;0,01
DR. WALMIR RIGUEIRA;PODE;SUPLENTE;61;3430;1,78;0,01
TONI DO JUDÔ TCC;PRTB;NÃO ELEITO;61;822;7,42;0,01
AGOSTINHO GOMES;PSOL;SUPLENTE;60;442;13,57;0,01
SILVIA NAKANO;REPUBLICANOS;SUPLENTE;60;476;12,61;0,01
LUIZ CASTRO COLETIVO CURA SP;PSB;SUPLENTE;60;924;6,49;0,01
TIÃO DO TENIS;PRD;NÃO ELEITO;59;1210;4,88;0,01
WESLEY SILVESTRE ROSA;PDT;NÃO ELEITO;59;2925;2,02;0,01
MARCO KUROVSKI;PSDB;NÃO ELEITO;58;300;19,33;0,01
FLAVIO CAMPOS;PSDB;NÃO ELEITO;58;230;25,22;0,01
MARIA PAULA;PODE;SUPLENTE;57;448;12,72;0,01
CRIS SIMÕES AVCISTA;PSB;SUPLENTE;57;302;18,87;0,01
MARINA COELHO DA FONSECA;NOVO;SUPLENTE;57;793;7,19;0,01
CHRISTY MUNIZ;PCB;NÃO ELEITO;56;214;26,17;0,01
ROGERIO BOCCIA;NOVO;SUPLENTE;56;880;6,36;0,01
WALTER CIGLIONI;PODE;SUPLENTE;55;238;23,11;0,01
ENFERMEIRA VIVIAN;SOLIDARIEDADE;NÃO ELEITO;55;759;7,25;0,01
RODRIGO ALVAREZ;NOVO;SUPLENTE;55;333;16,52;0,01
ARIS A FISCAL;PSB;SUPLENTE;55;297;18,52;0,01
JULIANA D AGOSTINI;PSD;SUPLENTE;54;473;11,42;0,01
CARLA FIORI;AVANTE;NÃO ELEITO;54;216;25,00;0,01
ARION;PP;SUPLENTE;54;325;16,62;0,01
TEN CORONEL CARDOSO;PP;SUPLENTE;53;999;5,31;0,01
MORENA;SOLIDARIEDADE;NÃO ELEITO;53;63;84,13;0,01
DANI AKAMINE;MDB;SUPLENTE;52;707;7,36;0,01
MARIA SOUSA;PRTB;NÃO ELEITO;52;120;43,33;0,01
FABRINI DA PROTEÇÃO ANIMAL;PRD;NÃO ELEITO;51;2071;2,46;0,00
RICARDO RODRIGUES;PRTB;NÃO ELEITO;51;788;6,47;0,00
RITA GUEDES;PL;SUPLENTE;51;2807;1,82;0,00
PROFESSOR ALEX PASTEL;PODE;SUPLENTE;50;305;16,39;0,00
KELLY DO BASQUETE;PODE;SUPLENTE;50;310;16,13;0,00
JACKSON SANTOS;MDB;SUPLENTE;50;621;8,05;0,00
DANIEL MELO;NOVO;SUPLENTE;49;549;8,93;0,00
ELIS REGINA;PRD;NÃO ELEITO;49;496;9,88;0,00
HELENA SUZUKI;REPUBLICANOS;SUPLENTE;49;454;10,79;0,00
FABÍOLA TATCHER;AVANTE;NÃO ELEITO;49;107;45,79;0,00
RENATA RIBEIRO;PRTB;NÃO ELEITO;49;1347;3,64;0,00
GILSON CAMPOS;REPUBLICANOS;SUPLENTE;49;223;21,97;0,00
JOSÉ ROLIM;PSD;SUPLENTE;48;1498;3,20;0,00
LIGIA RAMOS;MDB;SUPLENTE;48;461;10,41;0,00
ANDRÉA DE PAULA;AVANTE;NÃO ELEITO;48;374;12,83;0,00
ADVOGADO PASTOR ROBERTOBARBOSA;PODE;SUPLENTE;48;118;40,68;0,00
ALEMÃO DO CONSELHO;UNIÃO;SUPLENTE;48;4741;1,01;0,00
NEUDES CARVALHO ;PDT;NÃO ELEITO;48;189;25,40;0,00
PROF LUIZ ALBERTO;PT;SUPLENTE;48;382;12,57;0,00
EDU PERES;NOVO;SUPLENTE;48;406;11,82;0,00
JULIANY REIS;PRD;NÃO ELEITO;47;358;13,13;0,00
LORENA FERNANDES;PSTU;NÃO ELEITO;47;256;18,36;0,00
NATAL LIDER COMUNITÁRIO;PSB;SUPLENTE;46;1004;4,58;0,00
PATETA;PRD;NÃO ELEITO;46;637;7,22;0,00
JOTA MAIA;PDT;NÃO ELEITO;46;521;8,83;0,00
MARA NUNES;AVANTE;NÃO ELEITO;46;704;6,53;0,00
PASTOR  IVANILSON;PDT;NÃO ELEITO;46;545;8,44;0,00
ALDO LIMA;NOVO;SUPLENTE;45;377;11,94;0,00
ROGÉRIO LOPES;AVANTE;NÃO ELEITO;45;271;16,61;0,00
NEZINHO NUNES - RECO;SOLIDARIEDADE;NÃO ELEITO;45;985;4,57;0,00
IOLANDA RUAS;PSD;SUPLENTE;45;240;18,75;0,00
GLAUCE LIMA;PDT;NÃO ELEITO;44;93;47,31;0,00
PASTOR KESLEY PETERSON;PL;SUPLENTE;44;379;11,61;0,00
LEANDRO DO CARMO;PP;SUPLENTE;44;309;14,24;0,00
DR. PAULO SOUZA;MOBILIZA;NÃO ELEITO;44;311;14,15;0,00
NATÁLIA PIMENTA;PCO;NÃO ELEITO;44;233;18,88;0,00
GAMEIRO;NOVO;SUPLENTE;44;916;4,80;0,00
ANGELA MARIA;AGIR;NÃO ELEITO;44;49;89,80;0,00
MÁRIO CORTÊS NAÇÃO MOVIMENTO;PSB;SUPLENTE;42;641;6,55;0,00
MARLENE COSTA;REPUBLICANOS;SUPLENTE;42;297;14,14;0,00
PROF FLEDSON;AVANTE;NÃO ELEITO;42;648;6,48;0,00
IYÁ FERNANDA DE MORAES;PSB;SUPLENTE;41;206;19,90;0,00
TAMIRIS DO NOVO;NOVO;SUPLENTE;41;292;14,04;0,00
CIDA RAIZ ;PSD;SUPLENTE;41;311;13,18;0,00
ALEXANDRE MENDES;NOVO;SUPLENTE;41;232;17,67;0,00
PROFESSOR LUCAS;PSTU;NÃO ELEITO;41;458;8,95;0,00
FLAVIUS;PRTB;NÃO ELEITO;40;458;8,73;0,00
SHIRLEY PALADY;REPUBLICANOS;SUPLENTE;40;445;8,99;0,00
SHIRLEI MOURA;PSB;SUPLENTE;40;299;13,38;0,00
GREGORY FRANÇA;PT;SUPLENTE;40;349;11,46;0,00
ISABEL FOMM;PSD;SUPLENTE;40;120;33,33;0,00
JOÃO BATISTA CAPITAL;PSOL;SUPLENTE;39;548;7,12;0,00
JOSÉ AZEVEDO -  O ZÉ DO BODE;PODE;SUPLENTE;39;707;5,52;0,00
DENISE RIBEIRO;REDE;SUPLENTE;39;260;15,00;0,00
JULIO GURGUEIRA;PSDB;NÃO ELEITO;39;264;14,77;0,00
PROFESSOR AHMAD;DC;NÃO ELEITO;38;346;10,98;0,00
WILSON MELLO;NOVO;SUPLENTE;38;437;8,70;0,00
MÃE FLOR;PDT;NÃO ELEITO;38;224;16,96;0,00
ERICK OVELHA;PSOL;SUPLENTE;38;1530;2,48;0,00
FISCAL DO POVO WELLINGTON;PODE;SUPLENTE;38;2696;1,41;0,00
PRIH MOTORISTA;PT;SUPLENTE;38;330;11,52;0,00
DRA. FERNANDA FELIX;PP;SUPLENTE;37;246;15,04;0,00
ANDERSON ANJOS;REPUBLICANOS;SUPLENTE;37;1279;2,89;0,00
PROFESSOR JOSÉ VALDO;PSB;SUPLENTE;37;1331;2,78;0,00
HELÔ DA EMPATIA;SOLIDARIEDADE;NÃO ELEITO;36;166;21,69;0,00
PROF DULCEVAL SANTANA;NOVO;SUPLENTE;36;321;11,21;0,00
SILVIA DE LUCA;NOVO;SUPLENTE;36;517;6,96;0,00
LIA FRANCESCONI;PSDB;NÃO ELEITO;36;353;10,20;0,00
FERNANDO SANTO FORTE;PP;SUPLENTE;36;113;31,86;0,00
RAFAEL CALIU;PT;SUPLENTE;36;108;33,33;0,00
FERNANDA PAIN;AVANTE;NÃO ELEITO;36;743;4,85;0,00
JORNALISTA WALTER BRITO;PRTB;NÃO ELEITO;35;183;19,13;0,00
LUDMILA BARISO;PL;SUPLENTE;35;550;6,36;0,00
GERSON SANTOS;NOVO;SUPLENTE;35;237;14,77;0,00
MARCIA KITAGAWA;PRTB;NÃO ELEITO;35;273;12,82;0,00
MARCOS MAROLIS;PSOL;SUPLENTE;33;1160;2,84;0,00
ANDRE JURUNA;REDE;SUPLENTE;33;410;8,05;0,00
ESPIGA;PRTB;NÃO ELEITO;33;495;6,67;0,00
MARCIO SANTOS EVENTOS;PL;SUPLENTE;33;441;7,48;0,00
THEREZA FARIA LIMA;NOVO;SUPLENTE;33;808;4,08;0,00
DJALMA CORREA;PDT;NÃO ELEITO;33;1796;1,84;0,00
GRILO;PRTB;NÃO ELEITO;33;787;4,19;0,00
TIAGO NITOPI;MDB;SUPLENTE;33;1140;2,89;0,00
LEO DAS FLORES;PDT;NÃO ELEITO;32;692;4,62;0,00
SERJÃO DA NEGRITUDE;PSB;SUPLENTE;32;843;3,80;0,00
ANDRÉ GAETTA ;PDT;NÃO ELEITO;32;146;21,92;0,00
ALE MIRALLA;PSDB;NÃO ELEITO;32;288;11,11;0,00
ENGENHEIRO JEFFERSON;NOVO;SUPLENTE;32;250;12,80;0,00
MIYA;PDT;NÃO ELEITO;31;162;19,14;0,00
MARCELO G20;SOLIDARIEDADE;NÃO ELEITO;31;998;3,11;0,00
PRETA NASCIMENTO;DC;NÃO ELEITO;31;166;18,67;0,00
ALESSANDRO SANI;NOVO;SUPLENTE;31;412;7,52;0,00
PAULO ANDRADE;UNIÃO;SUPLENTE;30;740;4,05;0,00
LEANDRO CUSSOLINI;PSD;SUPLENTE;29;689;4,21;0,00
DARCIO RICCA;PDT;NÃO ELEITO;29;299;9,70;0,00
MARCIO BORGES;PRTB;NÃO ELEITO;29;187;15,51;0,00
PR MARCOS MARQUITA;PRTB;NÃO ELEITO;29;491;5,91;0,00
VAGNER COELHO;DC;NÃO ELEITO;28;109;25,69;0,00
JEAN TORRE;PRD;NÃO ELEITO;28;403;6,95;0,00
MIRTES GONÇALVES;PSD;SUPLENTE;28;230;12,17;0,00
JAMES LOSACCO;PSDB;NÃO ELEITO;28;708;3,95;0,00
VALTINHO;MDB;SUPLENTE;28;1820;1,54;0,00
EDINALDO BORA;PSDB;NÃO ELEITO;27;67;40,30;0,00
EDSON MARQUES;MDB;SUPLENTE;27;576;4,69;0,00
DR EMERSON RAMAYANA;PSOL;NÃO ELEITO;27;203;13,30;0,00
SÓIRA CELESTINO;PP;SUPLENTE;27;232;11,64;0,00
PAULINHO CHAMA;SOLIDARIEDADE;NÃO ELEITO;27;4656;0,58;0,00
FELIPE FAJARDO;PT;SUPLENTE;27;141;19,15;0,00
LUIZ BALTHAZAR;PRTB;NÃO ELEITO;26;404;6,44;0,00
BIANCA SOARES;PDT;NÃO ELEITO;26;95;27,37;0,00
ELAINE DO POVO;REPUBLICANOS;SUPLENTE;26;461;5,64;0,00
SAMANTHA DIAS;PV;SUPLENTE;26;139;18,71;0,00
ROGÉRIO VASQUEZ;NOVO;SUPLENTE;26;476;5,46;0,00
PRISCILA CAVALCANTE;MDB;SUPLENTE;26;361;7,20;0,00
BORGATO;PL;SUPLENTE;25;337;7,42;0,00
PAULO ROCHA;PSOL;SUPLENTE;25;460;5,43;0,00
MÁRCIA FARIA;PODE;SUPLENTE;25;480;5,21;0,00
RICK MORENO;PSB;SUPLENTE;25;342;7,31;0,00
GENTIL VIGILANTE;AGIR;NÃO ELEITO;25;58;43,10;0,00
SILVIA MARQUES;PSDB;NÃO ELEITO;25;245;10,20;0,00
MARCELO ARAUJO;DC;NÃO ELEITO;24;179;13,41;0,00
BATISTA DO PP;PP;SUPLENTE;24;580;4,14;0,00
MACARRÃO;PT;SUPLENTE;24;1548;1,55;0,00
CABO RONALDO GALDINO;MOBILIZA;NÃO ELEITO;24;375;6,40;0,00
ELDER THOMASI;DC;NÃO ELEITO;24;140;17,14;0,00
JULIO CAIRES;PP;SUPLENTE;24;178;13,48;0,00
GUIROPA;REPUBLICANOS;SUPLENTE;24;735;3,27;0,00
RENATO BANCADA ANTICAPITALISTA;PSTU;NÃO ELEITO;24;166;14,46;0,00
GABRIEL MARROM;PRD;NÃO ELEITO;24;155;15,48;0,00
MISSIONÁRIA MAGNA PET;PRTB;NÃO ELEITO;24;450;5,33;0,00
VANIA DA PAIXÃO;REPUBLICANOS;SUPLENTE;23;759;3,03;0,00
PROF SANTIAGO;AVANTE;NÃO ELEITO;23;2299;1,00;0,00
VANESSA ORSINI;PSDB;NÃO ELEITO;23;119;19,33;0,00
WELL;PRD;NÃO ELEITO;23;239;9,62;0,00
ENFERMEIRA EDITH FERREIRA;SOLIDARIEDADE;NÃO ELEITO;23;154;14,94;0,00
LUCIO ESCUDERO;PMB;NÃO ELEITO;23;100;23,00;0,00
STEFANO PORTO PERES;NOVO;SUPLENTE;23;219;10,50;0,00
DIMAS WILLIS;CIDADANIA;NÃO ELEITO;23;108;21,30;0,00
RONI MIGUEL;PV;SUPLENTE;22;947;2,32;0,00
ANDRÉ VILÃO;PRD;NÃO ELEITO;22;174;12,64;0,00
MARCIO FONTES;DC;NÃO ELEITO;22;62;35,48;0,00
RONALDO MARTINS;REPUBLICANOS;SUPLENTE;22;358;6,15;0,00
PROF FRANKLIN;PSDB;NÃO ELEITO;22;359;6,13;0,00
PASTORA ANA;PODE;SUPLENTE;21;524;4,01;0,00
SONIA MARIA;PRTB;NÃO ELEITO;21;242;8,68;0,00
MARCOS OLIVER ;PSD;SUPLENTE;21;160;13,13;0,00
GERSON FARIA DE SÁ;SOLIDARIEDADE;NÃO ELEITO;21;153;13,73;0,00
ZENALDO TORRES;NOVO;SUPLENTE;21;338;6,21;0,00
SOL LIMA;NOVO;SUPLENTE;21;233;9,01;0,00
WAGNER BRITO;NOVO;SUPLENTE;21;375;5,60;0,00
RAFAEL DI MOREIRA;REPUBLICANOS;SUPLENTE;20;198;10,10;0,00
RICARDO CORDEIRO;PP;SUPLENTE;20;287;6,97;0,00
JHOU DR DO POVO;PDT;NÃO ELEITO;20;960;2,08;0,00
GISELE BATISTA;PSDB;NÃO ELEITO;20;108;18,52;0,00
CABO MÁXIMO;AVANTE;NÃO ELEITO;20;705;2,84;0,00
ANADETHY CARAVANISTA;MDB;SUPLENTE;20;1462;1,37;0,00
FERNANDO GARCIA;PP;SUPLENTE;20;233;8,58;0,00
JARDEL BARROS;AVANTE;NÃO ELEITO;19;1157;1,64;0,00
CRISTIANE AQUINO;PRD;NÃO ELEITO;19;236;8,05;0,00
CLAUDIO FRANÇA;PRTB;NÃO ELEITO;19;613;3,10;0,00
GISELE CASARIN;MOBILIZA;NÃO ELEITO;19;112;16,96;0,00
FALCÃO DA PISCINA;MDB;SUPLENTE;19;565;3,36;0,00
RONALDO GAMA;PSDB;NÃO ELEITO;19;32;59,38;0,00
MAURÍCIO DE MELO RIBEIRO;PSOL;SUPLENTE;19;286;6,64;0,00
MADALENA CARVALHO/ MADÁ;SOLIDARIEDADE;NÃO ELEITO;19;227;8,37;0,00
FRANCISCO ALVES;MOBILIZA;NÃO ELEITO;19;232;8,19;0,00
HIRYAN LIRA;PRD;NÃO ELEITO;19;687;2,77;0,00
CARMEN GÈRALDI;PL;SUPLENTE;19;218;8,72;0,00
SÉRGIO SALMENTRO;SOLIDARIEDADE;NÃO ELEITO;19;737;2,58;0,00
FLEXA;AVANTE;NÃO ELEITO;19;133;14,29;0,00
ENFERMEIRA MARIA LÚCIA;PODE;SUPLENTE;19;590;3,22;0,00
DR EMERSON ROSA;NOVO;SUPLENTE;19;1067;1,78;0,00
MAGAYVER;AVANTE;NÃO ELEITO;18;343;5,25;0,00
GILMARA VANZO;PP;SUPLENTE;18;89;20,22;0,00
SANDRA NAVAJAS;PDT;NÃO ELEITO;18;121;14,88;0,00
GLAUCIA SANTANA;UNIÃO;SUPLENTE;18;598;3,01;0,00
WALNEY ARAUJO;AVANTE;NÃO ELEITO;18;142;12,68;0,00
AMITABH RANJAN;REPUBLICANOS;SUPLENTE;18;128;14,06;0,00
SELMER;MOBILIZA;NÃO ELEITO;18;184;9,78;0,00
MARCOS VANUCCI;MOBILIZA;NÃO ELEITO;18;146;12,33;0,00
WC WALTER CARVALHO;NOVO;SUPLENTE;18;141;12,77;0,00
SHEILA SANTANA;MDB;SUPLENTE;17;362;4,70;0,00
WAGNER GOMES;REPUBLICANOS;SUPLENTE;17;483;3,52;0,00
HAROLD THAU;PSDB;NÃO ELEITO;17;249;6,83;0,00
DANILO DA CUNHA;NOVO;SUPLENTE;17;227;7,49;0,00
RENATA DEL BIANCO;PP;SUPLENTE;17;121;14,05;0,00
JESS TAPIA;NOVO;SUPLENTE;17;237;7,17;0,00
CARLOS ANDRE;PSDB;NÃO ELEITO;17;146;11,64;0,00
REGINA DO BEM;PL;SUPLENTE;17;292;5,82;0,00
TIA RÔ;MOBILIZA;NÃO ELEITO;17;261;6,51;0,00
PROFESSOR PAULO FARIA;PSDB;NÃO ELEITO;17;344;4,94;0,00
MAURÍCIO TUFIÑO;AVANTE;NÃO ELEITO;16;113;14,16;0,00
LEANDRO LOURENÇO;MOBILIZA;NÃO ELEITO;16;154;10,39;0,00
PR. E PROF. WALDIR;PSB;SUPLENTE;16;704;2,27;0,00
CÂNDIDO DUARTE;PT;SUPLENTE;16;99;16,16;0,00
MARCELO SAÚDE;PSB;SUPLENTE;16;1704;0,94;0,00
BILLY JACKSON;PRTB;NÃO ELEITO;16;262;6,11;0,00
GILBERTO SOUZA;NOVO;SUPLENTE;16;316;5,06;0,00
PATRICIA CARVALHO;PRTB;NÃO ELEITO;16;492;3,25;0,00
DR QUINTEIRO;PSD;SUPLENTE;16;772;2,07;0,00
CICERO SILVA;PRTB;NÃO ELEITO;16;867;1,85;0,00
JORGILENE ALVES;MOBILIZA;NÃO ELEITO;16;27;59,26;0,00
GUILHERME BARDAUIL;SOLIDARIEDADE;NÃO ELEITO;15;266;5,64;0,00
BETO MAGRÃO;PSDB;NÃO ELEITO;15;381;3,94;0,00
RENAN HOMI;PSDB;NÃO ELEITO;15;98;15,31;0,00
ELIANA FAZANNI;PSD;SUPLENTE;15;156;9,62;0,00
RODRIGO FAZITO;PMB;NÃO ELEITO;15;29;51,72;0,00
SARGENTO JANDERSON;PRD;NÃO ELEITO;15;477;3,14;0,00
AILTON BATISTA;AVANTE;NÃO ELEITO;15;103;14,56;0,00
TOM DA SAÚDE;PRD;NÃO ELEITO;15;2047;0,73;0,00
WELINGTON REIS;PSB;SUPLENTE;15;314;4,78;0,00
JAJA TORRES;SOLIDARIEDADE;NÃO ELEITO;15;483;3,11;0,00
SIDNEI SILVA;PSDB;NÃO ELEITO;15;132;11,36;0,00
FORRÓ;SOLIDARIEDADE;NÃO ELEITO;15;149;10,07;0,00
EDUARDO SANTOS;AVANTE;NÃO ELEITO;15;274;5,47;0,00
ALOISIO SILVA;AVANTE;NÃO ELEITO;15;127;11,81;0,00
PROF MICHELETTI;PRTB;NÃO ELEITO;15;148;10,14;0,00
EDINALDO DO CARMO;MOBILIZA;NÃO ELEITO;14;227;6,17;0,00
ENGENHEIRO CIDO;PRTB;NÃO ELEITO;14;390;3,59;0,00
RUBENS PAVÃO;DC;NÃO ELEITO;14;190;7,37;0,00
GIAN HILLER;AVANTE;NÃO ELEITO;14;381;3,67;0,00
VIVIANE PROCOPIO;MDB;SUPLENTE;14;669;2,09;0,00
RAIMUNDO BARBOSA;PSDB;NÃO ELEITO;14;509;2,75;0,00
JORNALISTA GOIABEIRA;PP;SUPLENTE;14;516;2,71;0,00
LUCIANA ALMEIDA ;PDT;NÃO ELEITO;14;536;2,61;0,00
LEILA TROFINO;NOVO;SUPLENTE;14;126;11,11;0,00
ALTAVISTA;DC;NÃO ELEITO;14;52;26,92;0,00
CICERA MARIA;PT;SUPLENTE;14;326;4,29;0,00
DANILO ISRAEL;PSDB;NÃO ELEITO;14;105;13,33;0,00
SILVÂNIA SUPERAÇÃO;AVANTE;NÃO ELEITO;13;225;5,78;0,00
ANDRE COSTA;PRD;NÃO ELEITO;13;113;11,50;0,00
STEFANIA ROBUSTELLI;PCO;NÃO ELEITO;13;62;20,97;0,00
BEDIAN BEVILLE;DC;NÃO ELEITO;13;159;8,18;0,00
DR CARLOS ROBERTO;PSB;SUPLENTE;13;76;17,11;0,00
G. BLACK;PRD;NÃO ELEITO;13;832;1,56;0,00
OSMAR SOSSAI;DC;NÃO ELEITO;13;255;5,10;0,00
MAILSON SILVA;CIDADANIA;NÃO ELEITO;13;243;5,35;0,00
ALINE RIO;MOBILIZA;NÃO ELEITO;13;294;4,42;0,00
MÁRCIA LIMA;SOLIDARIEDADE;NÃO ELEITO;12;124;9,68;0,00
MARTA BARROS;AVANTE;NÃO ELEITO;12;205;5,85;0,00
STEFANNO MALUF;PT;SUPLENTE;12;156;7,69;0,00
CLÁUDIO VIEIRA;AVANTE;NÃO ELEITO;12;225;5,33;0,00
MARIA ANGELA;PCO;NÃO ELEITO;12;53;22,64;0,00
CESAR LONGARES;DC;NÃO ELEITO;12;54;22,22;0,00
CRISTIANE NAOMI;REPUBLICANOS;SUPLENTE;12;283;4,24;0,00
DAVI BENEDITO;PRD;NÃO ELEITO;12;265;4,53;0,00
PROFESSOR ZÉ CARLOS;PODE;SUPLENTE;11;1265;0,87;0,00
ANNIE BOWER;PSDB;NÃO ELEITO;11;87;12,64;0,00
SONIA MARANHÃO;NOVO;SUPLENTE;11;179;6,15;0,00
PR. EDUARDO BARBOSA;PSOL;SUPLENTE;11;1372;0,80;0,00
ZÉ DA FILADELFIA;PL;SUPLENTE;11;155;7,10;0,00
LAYANE SANTIAGO;PL;SUPLENTE;11;501;2,20;0,00
MOEMA ARRUDA;PDT;NÃO ELEITO;11;201;5,47;0,00
MEDAGLIA;PSDB;NÃO ELEITO;11;170;6,47;0,00
KUKA;PODE;SUPLENTE;11;496;2,22;0,00
DANIELA BRAGA;PSDB;NÃO ELEITO;11;295;3,73;0,00
NEGRO EDSON;SOLIDARIEDADE;NÃO ELEITO;11;502;2,19;0,00
ANDREIA DA FARMÁCIA;SOLIDARIEDADE;NÃO ELEITO;11;158;6,96;0,00
ROSI SILVA;AVANTE;NÃO ELEITO;11;67;16,42;0,00
MICHELLE GIARDINA;AVANTE;NÃO ELEITO;11;131;8,40;0,00
RENATA PACCOLA;PSDB;NÃO ELEITO;11;81;13,58;0,00
JEFFERSON PEDRO;PL;SUPLENTE;11;184;5,98;0,00
JAIRO ANZILEIRO ;PDT;NÃO ELEITO;11;72;15,28;0,00
VITORIA BOLINHA CURY;DC;NÃO ELEITO;11;49;22,45;0,00
DR SAMIR DIB;NOVO;SUPLENTE;10;175;5,71;0,00
RENILDA FERRARI;MDB;SUPLENTE;10;116;8,62;0,00
DR. EDEN;PRD;NÃO ELEITO;10;61;16,39;0,00
BICUDO;AVANTE;NÃO ELEITO;10;2198;0,45;0,00
GERALDO NÓBREGA;PSB;SUPLENTE;10;671;1,49;0,00
RICARDO AUGUSTO;PRD;NÃO ELEITO;10;270;3,70;0,00
DENISE ALVES;PRD;NÃO ELEITO;10;63;15,87;0,00
RODRIGO LOBÃO;MOBILIZA;NÃO ELEITO;10;353;2,83;0,00
GRAÇA SANTANA;DC;NÃO ELEITO;10;100;10,00;0,00
TIO WALTINHO ;AVANTE;NÃO ELEITO;10;1489;0,67;0,00
PROF HAIDÉE;AVANTE;NÃO ELEITO;10;555;1,80;0,00
ÂNGELA BARBOSA;SOLIDARIEDADE;NÃO ELEITO;10;49;20,41;0,00
MARCELO ALMEIDA;PRD;NÃO ELEITO;10;442;2,26;0,00
JANE MAIRÃO;PSDB;NÃO ELEITO;10;91;10,99;0,00
JAQUE PETROVIK;UNIÃO;SUPLENTE;10;365;2,74;0,00
BOKINHA;SOLIDARIEDADE;NÃO ELEITO;10;1584;0,63;0,00
COLETIVO PASTORA LILIAN ALVES;REPUBLICANOS;SUPLENTE;10;608;1,64;0,00
TOM MOURA;SOLIDARIEDADE;NÃO ELEITO;9;79;11,39;0,00
GORETE SILVA;SOLIDARIEDADE;NÃO ELEITO;9;168;5,36;0,00
BAHIA NASCIMENTO;PSB;NÃO ELEITO;9;335;2,69;0,00
RENE NUNES;PSDB;NÃO ELEITO;9;140;6,43;0,00
ELIENE RIBEIRO;PP;SUPLENTE;9;59;15,25;0,00
CHRIS BONI;PP;SUPLENTE;9;288;3,13;0,00
DESTRO;PP;SUPLENTE;9;233;3,86;0,00
JULIANA PIRES;REPUBLICANOS;SUPLENTE;9;405;2,22;0,00
ANDRÉ MINEIRO - SAÚDE;MOBILIZA;NÃO ELEITO;9;881;1,02;0,00
REGINA MACHADO (DA ELECTRIL);PODE;SUPLENTE;9;221;4,07;0,00
ROGERIO MUNHOZ;PT;SUPLENTE;9;215;4,19;0,00
MARCIA VALERIA;PRD;NÃO ELEITO;9;136;6,62;0,00
VILMINHA POETA;PSD;SUPLENTE;9;144;6,25;0,00
DR. VALDEMIR SANTOS;AGIR;NÃO ELEITO;8;162;4,94;0,00
PASTOR DIEGO REIS;REPUBLICANOS;NÃO ELEITO;8;697;1,15;0,00
MESSIAS DA OFICINA;PRTB;NÃO ELEITO;8;293;2,73;0,00
VINA FERRAZ;PP;SUPLENTE;8;60;13,33;0,00
ALE MARQUES;PODE;SUPLENTE;8;108;7,41;0,00
WASHINGTON SERAFIM;DC;NÃO ELEITO;8;483;1,66;0,00
MARIZE RIBEIRO;PDT;NÃO ELEITO;8;222;3,60;0,00
CAIO SPINA;MOBILIZA;NÃO ELEITO;8;78;10,26;0,00
KÉKÉ ESPETINHOS;PODE;SUPLENTE;8;1034;0,77;0,00
REGINA MATOS;SOLIDARIEDADE;NÃO ELEITO;8;576;1,39;0,00
KELLZINHA;PSDB;NÃO ELEITO;8;70;11,43;0,00
FERNANDO MANSO;PRD;NÃO ELEITO;8;1813;0,44;0,00
EDNA YAMADA;REDE;SUPLENTE;8;505;1,58;0,00
WESLEY ROCHA;PRD;NÃO ELEITO;7;664;1,05;0,00
MARIA JOSÉ ALEIXO;NOVO;SUPLENTE;7;67;10,45;0,00
SAMUEL DA VINTE E SETE;PSOL;SUPLENTE;7;774;0,90;0,00
HELOISA ZAGATO;PMB;NÃO ELEITO;7;138;5,07;0,00
SEGURANÇA NALVA;AVANTE;NÃO ELEITO;7;148;4,73;0,00
VILANI;PODE;SUPLENTE;7;304;2,30;0,00
FILIPE BASSI;PT;SUPLENTE;7;31;22,58;0,00
YES DA ZL;SOLIDARIEDADE;NÃO ELEITO;7;530;1,32;0,00
MARCIO ROBERTO OLIVEIRA;PCO;NÃO ELEITO;7;37;18,92;0,00
DORINHA ALVES;PDT;NÃO ELEITO;7;420;1,67;0,00
SARAH BRASIL;PMB;NÃO ELEITO;7;66;10,61;0,00
LUIZ ROCHA;PRTB;NÃO ELEITO;7;279;2,51;0,00
LEÃO JR;PSD;SUPLENTE;7;33;21,21;0,00
NALVA LIMA;PRD;NÃO ELEITO;7;221;3,17;0,00
ANDREIA FREDERICO;MOBILIZA;NÃO ELEITO;7;49;14,29;0,00
